date,Open,High,Low,Close,Volume,avg-block-size,n-transactions-per-block,n-payments-per-block,transactions-per-second,blocks-size,hash-rate,difficulty,monthly-btc-trend,daily-btc-trend
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0,7317279744.0,1.06824052121212,1416.6303030303,2678.0242424242424,2.199479166666674,159849.508816,24667147.3751973,3007383866429.0,34,79
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625,7620590080.0,0.861064474358974,1250.46794871795,2944.019230769231,2.2701388888888956,160025.839098,23321666.6092775,3007383866429.0,34,81
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,6690570240.0,0.976833516666666,983.466666666667,2084.9333333333334,2.0383680555555617,160160.107771,26909615.3183971,3007383866429.0,34,77
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375,6084149760.0,1.00285364189189,1082.64189189189,2192.608108108108,1.760243055555561,160335.950536,22125683.7062376,3007383866429.0,34,66
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,6468539904.0,1.01606051677852,1351.93288590604,2518.751677852349,2.128819444444451,160484.364404,24372959.7309369,3233581400367.21,34,78
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,6832169984.0,1.02220948717949,1320.61538461538,2455.801282051282,2.3645833333333393,160635.720884,25517998.1075581,3290605988755.0,34,80
2018-03-07,10803.900390625,10929.5,9692.1201171875,9965.5703125,8797910016.0,1.02232191082803,1362.91719745223,2634.184713375796,2.3954861111111168,160795.198856,25681575.018504,3290605988755.0,34,89
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,7186089984.0,1.01942307407407,1212.48148148148,2288.5061728395062,2.2873263888888946,160955.714145,26499459.5732334,3290605988755.0,34,87
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,8704190464.0,1.03122834246575,1357.39726027397,2888.8150684931506,2.357118055555562,161120.884997,23882228.9980992,3290605988755.0,34,98
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,8866.0,5386319872.0,1.01314555714286,1115.91428571429,2054.0142857142855,1.8972222222222284,161271.46641,22900767.5324239,3290605988755.0,34,70
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,6296370176.0,1.01315076470588,986.169934640523,1880.764705882353,1.6539930555555633,161413.174859,25027267.3747204,3290605988755.0,34,71
2018-03-12,9602.9296875,9937.5,8956.4296875,9205.1201171875,6457399808.0,0.947042919254658,1170.14906832298,2266.5341614906833,1.9437500000000083,161568.264588,26335882.6622875,3290605988755.0,34,78
2018-03-13,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,5991139840.0,0.892580943037975,1241.39240506329,2257.981012658228,2.179340277777784,161720.183306,25845151.9294498,3290605988755.0,34,75
2018-03-14,9214.650390625,9355.849609375,8068.58984375,8269.8095703125,6438230016.0,0.744636687499999,1326.68055555556,2400.2916666666665,2.190277777777785,161861.837391,23555075.1762075,3290605988755.0,34,89
2018-03-15,8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,6834429952.0,0.770433131944445,1431.84722222222,2681.402777777778,2.2880208333333405,161969.01389,23555075.1762075,3290605988755.0,34,100
2018-03-16,8322.91015625,8585.150390625,8005.31005859375,8338.349609375,5289379840.0,0.683671737179487,1198.58333333333,2456.3846153846152,2.2166666666666743,162079.109866,25517998.1075581,3290605988755.0,34,79
2018-03-17,8321.91015625,8346.5302734375,7812.81982421875,7916.8798828125,4426149888.0,0.515427899328859,1036.88590604027,1946.3288590604027,1.9565972222222288,162186.651854,24372959.7309369,3290605988755.0,34,69
2018-03-18,7890.52001953125,8245.509765625,7397.990234375,8223.6796875,6639190016.0,0.69528042384106,1088.74834437086,2111.092715231788,1.7218750000000058,162262.475796,25990711.2963892,3381698122495.93,34,87
2018-03-19,8344.1201171875,8675.8701171875,8182.39990234375,8630.650390625,6729110016.0,0.678044703225806,1235.66451612903,2242.2709677419357,2.1614583333333406,162367.894486,26679206.9598697,3462542391191.0,34,83
2018-03-20,8619.669921875,9051.01953125,8389.8896484375,8913.4697265625,6361789952.0,0.793882708661417,1536.75590551181,2691.582677165354,2.204513888888895,162473.204814,21859737.3155061,3462542391191.0,34,80
2018-03-21,8937.48046875,9177.3701171875,8846.330078125,8929.2802734375,6043129856.0,0.670269184210526,1281.88157894737,2269.9868421052633,2.234027777777785,162573.806211,26162835.2122593,3462542391191.0,34,75
2018-03-22,8939.4404296875,9100.7099609375,8564.900390625,8728.4697265625,5530390016.0,0.79781906993007,1295.01398601399,2416.965034965035,2.1052083333333402,162676.150801,24613719.9694282,3462542391191.0,34,72
2018-03-23,8736.25,8879.6201171875,8360.6201171875,8879.6201171875,5954120192.0,0.830547676691729,1352.01503759398,2675.714285714286,2.0423611111111177,162789.392409,22892480.8107269,3462542391191.0,34,70
2018-03-24,8901.9501953125,8996.1796875,8665.7001953125,8668.1201171875,5664600064.0,0.596552,1006.96794871795,1875.628205128205,1.8163194444444526,162900.148233,26851330.8757398,3462542391191.0,34,63
